,IP,Time,URL,Status,month,day,Methods,URL_new
14824,10.128.2.1,20/Feb/2018,GET /css/font-awesome.min.css HTTP/1.1,200,Feb,20,GET ,css
14825,10.130.2.1,20/Feb/2018,GET /css/normalize.css HTTP/1.1,200,Feb,20,GET ,css
14826,10.128.2.1,20/Feb/2018,GET /css/main.css HTTP/1.1,200,Feb,20,GET ,css
14827,10.130.2.1,20/Feb/2018,GET /css/style.css HTTP/1.1,200,Feb,20,GET ,css
14828,10.128.2.1,20/Feb/2018,GET /js/vendor/modernizr-2.8.3.min.js HTTP/1.1,200,Feb,20,GET ,js
14829,10.130.2.1,20/Feb/2018,GET /js/vendor/jquery-1.12.0.min.js HTTP/1.1,200,Feb,20,GET ,js
14830,10.128.2.1,20/Feb/2018,GET /bootstrap-3.3.7/js/bootstrap.min.js HTTP/1.1,200,Feb,20,GET ,bootstrap-3.3.7
14831,10.130.2.1,20/Feb/2018,POST /process.php HTTP/1.1,302,Feb,20,POST ,process.php HTTP
14832,10.130.2.1,20/Feb/2018,GET /login.php?value=fail HTTP/1.1,200,Feb,20,GET ,login.php?value=fail HTTP
14833,10.131.0.1,20/Feb/2018,GET / HTTP/1.1,302,Feb,20,GET , HTTP
14834,10.130.2.1,20/Feb/2018,GET /login.php HTTP/1.1,200,Feb,20,GET ,login.php HTTP
14835,10.130.2.1,20/Feb/2018,GET /robots.txt HTTP/1.1,404,Feb,20,GET ,robots.txt HTTP
14836,10.130.2.1,20/Feb/2018,GET / HTTP/1.1,302,Feb,20,GET , HTTP
14837,10.131.0.1,20/Feb/2018,GET /login.php HTTP/1.1,200,Feb,20,GET ,login.php HTTP
14838,10.130.2.1,20/Feb/2018,GET / HTTP/1.1,302,Feb,20,GET , HTTP
14839,10.128.2.1,20/Feb/2018,GET /login.php HTTP/1.1,200,Feb,20,GET ,login.php HTTP
14840,10.128.2.1,20/Feb/2018,GET /css/font-awesome.min.css HTTP/1.1,200,Feb,20,GET ,css
14841,10.130.2.1,20/Feb/2018,GET /css/bootstrap.min.css HTTP/1.1,200,Feb,20,GET ,css
14842,10.128.2.1,20/Feb/2018,GET /js/vendor/jquery-1.12.0.min.js HTTP/1.1,200,Feb,20,GET ,js
14843,10.131.0.1,20/Feb/2018,GET /css/style.css HTTP/1.1,200,Feb,20,GET ,css
14844,10.130.2.1,20/Feb/2018,GET /bootstrap-3.3.7/js/bootstrap.min.js HTTP/1.1,200,Feb,20,GET ,bootstrap-3.3.7
14845,10.128.2.1,20/Feb/2018,GET /css/main.css HTTP/1.1,200,Feb,20,GET ,css
14846,10.131.0.1,20/Feb/2018,GET /js/vendor/modernizr-2.8.3.min.js HTTP/1.1,200,Feb,20,GET ,js
14847,10.130.2.1,20/Feb/2018,GET /js/vendor/modernizr-2.8.3.min.js HTTP/1.1,200,Feb,20,GET ,js
14848,10.130.2.1,20/Feb/2018,GET /css/normalize.css HTTP/1.1,200,Feb,20,GET ,css
